year,model_type,task_type,model_size_million_params,training_framework,epochs,batch_size,learning_rate,training_time_hours,final_train_loss,final_val_loss,overfitting_score,inference_latency_ms,throughput_samples_per_sec,model_accuracy,f1_score,roc_auc,gpu_type,gpu_memory_gb,power_consumption_kwh,carbon_emission_kg,cloud_provider,training_cost_usd,inference_cost_per_1k_requests
2022,Diffusion,generation,44.08,TensorFlow,20,32,0.000431,4.65,0.6591,0.7634,0.1043,73.65,24.43,0.864,0.818,0.893,RTX3090,24,4.82,2.12,GCP,22.81,0.6683
2022,Transformer,generation,63.45,JAX,28,32,0.000503,9.11,0.9531,1.224,0.2709,277.86,2.79,0.848,0.8,0.887,V100,32,9.1,3.84,Azure,35.91,1.3993
2021,LLM,generation,54.44,TensorFlow,24,32,5.40E-05,6.77,0.8791,1.0092,0.1301,303.18,3.44,0.789,0.754,0.807,V100,32,8.22,5.68,Azure,26.73,2.7755
2021,LLM,classification,17.08,JAX,37,32,0.000142,1.7,0.2745,0.5663,0.2918,514.21,0.19,0.752,0.716,0.768,RTX3090,24,2.47,1.68,AWS,9.59,2.2273
2019,Diffusion,generation,72.53,TensorFlow,39,32,0.000913,4.17,0.4016,0.486,0.0845,116.09,8.58,0.814,0.789,0.836,A100,40,5.8,3.9,Azure,9.52,0.3344
2018,CNN,detection,27.42,TensorFlow,31,16,3.90E-05,2.26,1.026,1.0893,0.0633,780.92,1.44,0.931,0.909,0.954,RTX3090,24,2.21,1.2,On-Prem,5.25,0.8174
2025,Diffusion,classification,26.84,TensorFlow,12,64,0.000253,3.48,1.0735,1.2153,0.1418,431.43,0.54,0.86,0.826,0.871,T4,16,3.92,2.02,Azure,10.94,2.7256
2018,Diffusion,detection,41.13,TensorFlow,41,32,0.000111,5.22,0.2982,0.5511,0.2529,73.37,2.06,0.907,0.876,0.933,RTX3090,24,6.51,3.84,GCP,30.84,0.4143
2023,Transformer,classification,102.39,JAX,23,16,7.50E-05,5.92,0.0792,0.4646,0.3854,245.74,5.73,0.77,0.743,0.785,T4,16,5.39,2.16,GCP,24.86,1.8262
2018,LLM,segmentation,25.62,JAX,20,16,0.000108,2.96,0.551,0.8457,0.2947,74.46,15.5,0.893,0.877,0.907,A100,40,3.08,1.04,GCP,7.05,0.2831
2019,Transformer,generation,39.27,JAX,34,128,0.000199,2.15,1.1415,1.4973,0.3558,208.72,0.38,0.908,0.86,0.933,V100,32,2.53,1.45,AWS,9.61,1.9818
2023,CNN,generation,110.33,JAX,16,32,6.00E-05,12.61,0.577,0.7998,0.2228,256.26,3.13,0.863,0.814,0.9,V100,32,11.82,3.87,Azure,30.31,0.2983
2019,Transformer,detection,64.62,PyTorch,21,16,0.000205,5.72,0.8339,0.9767,0.1428,126.75,8.03,0.77,0.732,0.791,T4,16,8.33,2.63,Azure,21.01,1.2305
2018,Transformer,segmentation,14.44,PyTorch,28,128,0.000411,2.15,0.5245,0.6796,0.1551,1620.79,0.44,0.931,0.884,0.967,A100,40,2.37,1.42,Azure,10.8,3.1251
2025,LLM,segmentation,55,PyTorch,29,16,4.40E-05,7.68,0.4976,0.5118,0.0142,494.7,0.46,0.894,0.872,0.933,T4,16,11.25,5.95,On-Prem,34.75,2.4913
2025,CNN,generation,29.86,TensorFlow,25,128,0.00032,3.86,0.9581,1.0036,0.0456,505.2,0.32,0.723,0.691,0.746,T4,16,5.48,2.41,AWS,9.52,1.1554
2022,LLM,generation,78.91,JAX,42,128,1.50E-05,9.48,0.1337,0.4642,0.3305,270.36,0.77,0.929,0.915,0.968,T4,16,10.06,4.51,GCP,49.76,2.5752
2019,CNN,classification,35.48,JAX,48,128,0.000131,3.28,1.0923,1.1457,0.0534,423.69,0.17,0.803,0.774,0.815,RTX3090,24,2.9,1,On-Prem,15.07,3.2685
2018,LLM,detection,73.38,JAX,29,32,0.000546,5.31,1.1577,1.1724,0.0147,396.72,0.34,0.827,0.781,0.853,T4,16,7.94,2.62,Azure,22.38,3.8576
2023,LLM,detection,213.89,PyTorch,18,32,3.90E-05,31.99,0.8515,1.0113,0.1598,104,17.64,0.852,0.804,0.864,RTX3090,24,34.43,11.8,GCP,106.95,0.2628
2024,CNN,classification,26.43,TensorFlow,32,64,1.40E-05,3.9,1.1841,1.4664,0.2823,617.29,1.06,0.947,0.905,0.978,RTX3090,24,3.56,2.37,GCP,20.61,5.894
2022,Transformer,classification,85.22,JAX,6,128,1.50E-05,11.73,0.6843,0.7586,0.0743,148.23,10.57,0.938,0.909,0.978,T4,16,12.48,7.49,Azure,41.91,1.2544
2018,LLM,classification,36,PyTorch,45,32,6.80E-05,2.78,0.1148,0.4621,0.3472,680.02,2.94,0.829,0.779,0.855,T4,16,3.73,2.53,Azure,15.03,2.1938
2022,CNN,classification,28.77,TensorFlow,49,128,0.000163,2.1,0.8225,1.0735,0.2511,384.63,0.71,0.809,0.772,0.834,A100,40,2.81,1.43,On-Prem,11.34,2.2951
2018,Diffusion,segmentation,101.08,JAX,21,16,1.90E-05,5.34,0.9184,1.1703,0.2519,210.43,2.21,0.833,0.818,0.844,T4,16,5.59,2.99,AWS,19.08,1.039
2019,LLM,generation,46.45,JAX,42,16,8.00E-05,6.55,0.3927,0.6069,0.2142,453.83,3.53,0.877,0.849,0.913,A100,40,8.77,2.86,GCP,14.31,2.9895
2025,CNN,generation,27.42,TensorFlow,47,32,3.00E-05,1.58,0.1982,0.2581,0.0599,181.66,1.77,0.772,0.736,0.787,RTX3090,24,1.65,1.08,On-Prem,6.15,1.2731
2021,CNN,segmentation,41.76,TensorFlow,23,128,0.00044,3.53,0.4498,0.4722,0.0224,399.6,2.73,0.782,0.758,0.819,V100,32,3.14,1.36,AWS,11.6,0.7315
2021,Diffusion,detection,177.43,TensorFlow,34,64,2.10E-05,15.57,0.053,0.4016,0.3486,16.87,72,0.804,0.755,0.83,A100,40,22.52,8.88,On-Prem,78.45,0.0975
2018,CNN,generation,46.91,PyTorch,11,16,0.000237,6.31,0.9121,0.9339,0.0219,556.02,1.33,0.83,0.804,0.843,T4,16,8.3,3.1,On-Prem,26.84,4.7631
2020,Transformer,detection,57.12,PyTorch,29,64,0.000604,6.25,0.831,1.1487,0.3178,266.18,0.82,0.75,0.719,0.778,A100,40,8.26,3.9,On-Prem,15.68,0.946
2021,CNN,segmentation,126.15,TensorFlow,38,64,3.10E-05,12.59,0.4299,0.804,0.3741,5.73,85.48,0.715,0.691,0.74,RTX3090,24,17.57,5.89,GCP,65.78,0.0086
2024,Transformer,classification,88.1,TensorFlow,19,64,0.000431,6.68,0.2465,0.5173,0.2708,316.87,3.58,0.832,0.799,0.85,T4,16,8.94,3.35,GCP,22,1.5302
2020,Diffusion,detection,20.56,TensorFlow,5,32,0.000166,1.62,0.7184,0.7886,0.0702,714.67,1.52,0.824,0.812,0.844,RTX3090,24,1.45,0.47,AWS,9.66,2.7881
2022,Transformer,generation,38.05,PyTorch,41,128,1.00E-05,2.35,0.5941,0.8405,0.2464,628.95,0.41,0.881,0.837,0.913,RTX3090,24,2.55,1.72,GCP,13.99,1.7894
2020,LLM,detection,81.52,TensorFlow,26,16,1.20E-05,10.45,1.0021,1.3048,0.3027,295.47,5.61,0.805,0.787,0.822,A100,40,12.99,8.62,On-Prem,34.11,1.8599
2022,LLM,generation,40.43,TensorFlow,44,128,5.70E-05,3.89,0.3966,0.6982,0.3016,379.18,1.33,0.973,0.927,0.994,V100,32,4.59,3.04,GCP,17.5,0.7781
2019,Diffusion,classification,60.29,TensorFlow,12,16,0.000244,4.02,1.0604,1.2636,0.2032,371.09,3.15,0.866,0.816,0.898,T4,16,5.21,3.18,On-Prem,10.34,1.0542
2021,Diffusion,detection,52.93,JAX,14,32,4.80E-05,6.99,0.1772,0.5173,0.3401,80.5,10.24,0.967,0.925,0.982,RTX3090,24,6.72,3.96,AWS,34.13,0.545
2019,Diffusion,classification,69.97,TensorFlow,47,64,0.000158,9.28,1.1529,1.2965,0.1436,103,8.51,0.97,0.949,0.999,V100,32,13.35,4.75,GCP,22.31,0.3403
2021,CNN,detection,80.32,TensorFlow,48,64,0.000135,9.61,1.1109,1.3967,0.2858,62.25,18.86,0.945,0.911,0.968,T4,16,12.64,8.52,On-Prem,54.81,0.3148
2024,Transformer,segmentation,250.44,PyTorch,25,32,5.70E-05,31.16,0.2864,0.6037,0.3172,73.11,3.73,0.862,0.835,0.898,A100,40,45.06,21.91,Azure,122.26,0.6774
2019,LLM,segmentation,41.84,JAX,28,16,0.000143,2.78,0.089,0.2204,0.1315,562.25,1.05,0.827,0.808,0.843,V100,32,3.23,2.23,AWS,10.68,3.3824
2019,Diffusion,classification,58.32,JAX,44,128,0.000101,6.39,0.1271,0.4296,0.3025,114.75,15.7,0.91,0.892,0.926,RTX3090,24,5.27,2.58,On-Prem,27.21,0.1826
2025,Diffusion,classification,46.85,TensorFlow,6,128,0.000117,4.6,0.6216,0.9301,0.3085,75.52,9.3,0.94,0.927,0.973,RTX3090,24,4.55,3,On-Prem,18.87,0.6197
2025,LLM,detection,46.8,JAX,7,32,2.90E-05,5.48,0.0727,0.1233,0.0506,514.9,0.77,0.902,0.866,0.919,T4,16,4.77,1.89,AWS,26.81,4.4803
2019,Transformer,detection,43.97,PyTorch,41,128,1.90E-05,3.99,0.4226,0.4665,0.0439,436.22,3.4,0.913,0.869,0.926,A100,40,5.63,3.14,AWS,19.19,4.0113
2018,CNN,detection,22.22,TensorFlow,6,64,5.30E-05,1.19,1.0053,1.1499,0.1446,1049.87,0.72,0.911,0.867,0.928,T4,16,1.76,1.08,Azure,2.92,6.3958
2023,Diffusion,detection,53.95,TensorFlow,36,128,7.10E-05,2.82,0.359,0.5802,0.2212,355.66,1.55,0.847,0.831,0.882,T4,16,4.2,2.14,GCP,7.57,1.2273
2021,CNN,generation,61.41,TensorFlow,42,16,1.40E-05,5.56,0.6221,0.913,0.2909,59.34,5.44,0.742,0.721,0.76,T4,16,7.3,2.92,AWS,25.2,0.3233
2019,CNN,generation,111.24,TensorFlow,25,16,5.80E-05,11.33,0.104,0.1789,0.0749,200.22,1.06,0.841,0.806,0.858,RTX3090,24,12.16,5.05,GCP,38.79,1.4959
2023,CNN,generation,77.04,TensorFlow,38,128,6.20E-05,11.2,0.2053,0.4039,0.1987,109.84,10.04,0.68,0.663,0.715,T4,16,15.6,10.64,Azure,29.34,0.7261
2023,CNN,generation,15.31,PyTorch,44,128,0.000286,1.52,0.8417,1.0212,0.1796,507.44,3.25,0.792,0.75,0.823,T4,16,1.51,0.81,GCP,5.25,0.9257
2019,Transformer,generation,52.21,TensorFlow,16,64,0.000121,7.17,0.8921,1.2166,0.3246,381.81,3.67,0.87,0.826,0.887,A100,40,8.19,3.18,AWS,42.66,3.6258
2019,CNN,detection,89.22,TensorFlow,18,32,1.70E-05,10.98,0.2715,0.3264,0.055,145.06,11.04,0.831,0.791,0.842,V100,32,12.29,6.25,On-Prem,50.28,0.9939
2025,CNN,segmentation,93.82,JAX,49,16,1.40E-05,11.22,0.4409,0.7335,0.2927,25.88,25.69,0.659,0.627,0.693,A100,40,11.48,6.32,On-Prem,62.22,0.1693
2022,CNN,detection,57.36,PyTorch,36,64,0.000733,3.27,0.0609,0.0915,0.0305,54.25,2.27,0.905,0.876,0.933,T4,16,3.24,1.49,AWS,7.74,0.2185
2023,LLM,classification,154.88,PyTorch,7,128,8.60E-05,12.34,1.0307,1.3198,0.2891,115.44,5.12,0.833,0.787,0.845,A100,40,10.82,4.94,Azure,30.83,1.1091
2025,Transformer,detection,37,PyTorch,10,32,0.000922,5.12,0.7409,1.1034,0.3625,802.19,1.87,0.884,0.872,0.906,RTX3090,24,7.1,2.79,GCP,27.26,1.671
2024,Diffusion,generation,50.56,TensorFlow,45,16,2.40E-05,6.47,0.4526,0.4852,0.0326,575.33,3.08,0.78,0.733,0.82,A100,40,5.96,2.73,GCP,32.56,4.1793
2023,Transformer,segmentation,67.1,TensorFlow,42,64,0.000176,8.37,0.0901,0.4491,0.359,385.6,2.44,0.79,0.764,0.808,T4,16,9.49,3.02,Azure,45.29,0.5085
2024,Diffusion,classification,74,TensorFlow,15,64,1.50E-05,6.72,0.4786,0.5899,0.1113,295.15,3.45,0.804,0.791,0.821,T4,16,8.59,2.84,Azure,36.33,1.6104
2019,Transformer,detection,248.68,JAX,7,64,5.00E-05,29.29,0.7006,0.8147,0.1141,106.24,15.11,0.778,0.741,0.813,RTX3090,24,41.22,24.05,AWS,156.67,0.7731
2021,CNN,detection,99.99,JAX,42,64,2.40E-05,13.81,1.1555,1.347,0.1915,264.35,0.23,0.943,0.9,0.959,T4,16,19.84,5.96,AWS,58.36,2.0645
2019,CNN,generation,34.15,JAX,17,32,0.000171,5.06,0.7766,0.8879,0.1113,562.32,1.96,0.771,0.73,0.784,A100,40,6.74,3.48,GCP,29.6,2.2925
2025,CNN,classification,78.63,JAX,33,16,0.000378,5.3,0.9365,1.3159,0.3794,68.78,22.59,0.835,0.797,0.859,RTX3090,24,4.45,1.47,On-Prem,28.66,0.6817
2025,Diffusion,detection,38.4,TensorFlow,39,16,0.000154,3.39,0.1255,0.4559,0.3304,298.67,5.51,0.973,0.953,0.983,V100,32,3.09,1.51,On-Prem,19.6,0.5734
2021,LLM,classification,57.59,JAX,33,16,0.000244,4.15,0.1447,0.4201,0.2754,343.95,1.69,0.913,0.865,0.928,A100,40,4.58,3.1,AWS,15.27,2.3205
2018,CNN,detection,21.86,TensorFlow,7,32,4.20E-05,1.79,0.8831,1.184,0.3009,293.26,5.94,0.765,0.726,0.792,A100,40,2.03,1.05,AWS,4.73,0.8309
2019,Diffusion,segmentation,144.88,PyTorch,11,128,0.000179,9.15,0.0874,0.4565,0.3691,129.01,12.43,0.621,0.592,0.635,T4,16,8.12,4.66,GCP,34.03,0.3618
2018,Diffusion,segmentation,35.01,PyTorch,6,16,0.000394,2.84,0.5735,0.588,0.0145,75.33,10.82,0.819,0.79,0.847,V100,32,2.85,1.65,Azure,15.44,0.604
2023,Diffusion,detection,53.81,JAX,28,128,2.00E-05,3.24,0.7065,0.7237,0.0172,273.73,1.68,0.774,0.75,0.808,RTX3090,24,4.73,1.56,On-Prem,13.42,2.4479
2021,LLM,generation,23.78,JAX,42,16,0.000136,2.83,0.9707,1.0587,0.0881,228.79,1.11,0.731,0.696,0.763,V100,32,2.33,1.57,On-Prem,6.25,1.3434
2022,CNN,classification,83.01,TensorFlow,32,64,0.000401,6.97,0.987,1.0283,0.0412,324.02,3.45,0.851,0.809,0.875,T4,16,8.71,4.45,GCP,34.33,0.5621
2019,LLM,detection,29.4,PyTorch,36,32,9.90E-05,3.1,0.8771,0.9762,0.0991,1016.73,1.92,0.778,0.742,0.794,RTX3090,24,3.96,1.3,On-Prem,6.59,3.3747
2021,Diffusion,generation,105.07,PyTorch,35,16,6.80E-05,14.14,0.7731,1.0699,0.2968,220.31,4.7,0.811,0.779,0.837,T4,16,17.14,5.34,On-Prem,50.67,1.4222
2023,LLM,generation,120.32,TensorFlow,43,16,3.60E-05,13.14,1.0992,1.1914,0.0922,156.89,8.17,0.855,0.816,0.869,V100,32,17.1,11.35,On-Prem,35.73,0.4923
2023,Diffusion,segmentation,53.77,JAX,18,32,0.000107,4.62,0.7319,0.8057,0.0738,223.86,8.67,0.914,0.893,0.944,A100,40,4.75,2.89,Azure,11.66,2.1778
2018,CNN,segmentation,21.47,JAX,7,32,7.70E-05,1.78,0.5661,0.8372,0.2711,223.56,4.14,0.798,0.765,0.837,A100,40,1.74,0.77,GCP,6.27,1.4419
2025,Transformer,classification,73.87,PyTorch,48,128,7.80E-05,10.08,0.6919,0.9124,0.2206,20.42,96.67,0.648,0.633,0.665,A100,40,8.43,4.69,Azure,29.21,0.0535
2022,Transformer,generation,152.85,JAX,24,32,0.00094,22.39,0.0557,0.4369,0.3812,126.62,13.76,0.882,0.854,0.907,T4,16,25.58,14.5,AWS,57.3,0.1608
2022,Transformer,classification,106.16,PyTorch,46,32,0.000292,7.03,0.2666,0.5616,0.295,48.11,10.55,0.737,0.688,0.754,V100,32,8.88,6.14,On-Prem,24.59,0.0557
2023,Diffusion,detection,81.54,PyTorch,44,32,0.000344,5,0.9648,1.3331,0.3683,223.42,8.44,0.779,0.736,0.809,V100,32,6.02,2.65,Azure,13.18,1.4399
2021,Diffusion,classification,88.37,JAX,29,16,0.000551,11.33,0.7021,1.0001,0.298,298.93,2.8,0.788,0.765,0.818,A100,40,15.47,9.36,GCP,58.83,1.4708
2018,Transformer,detection,49.9,JAX,11,32,1.00E-05,4.11,0.4714,0.6359,0.1645,421.17,1.92,0.83,0.802,0.847,V100,32,4.37,1.71,GCP,9.43,2.7085
2019,CNN,generation,104.98,TensorFlow,13,16,5.70E-05,14.31,0.6469,0.8438,0.1969,11.97,59.78,0.943,0.918,0.965,RTX3090,24,17.26,8.86,Azure,63.43,0.0944
2020,LLM,detection,78.01,PyTorch,47,64,1.10E-05,5.43,0.0587,0.3212,0.2625,346.01,1.52,0.888,0.841,0.9,T4,16,7.89,3.48,On-Prem,13.06,1.859
2024,Diffusion,generation,32.38,TensorFlow,31,64,0.000723,3.34,0.7181,0.763,0.045,669.25,1.24,0.741,0.692,0.776,V100,32,3.9,1.36,GCP,18.18,5.4865
2021,Transformer,detection,38.52,PyTorch,46,16,2.30E-05,5.46,0.5382,0.5822,0.0439,637.71,1.22,0.748,0.717,0.762,T4,16,4.38,2.43,On-Prem,22.18,4.0443
2025,Diffusion,generation,77.29,JAX,28,16,6.60E-05,10.36,1.085,1.2329,0.1478,96.88,16.23,0.913,0.892,0.948,RTX3090,24,11.36,6.44,Azure,24.67,0.6408
2020,Diffusion,generation,207.19,JAX,39,64,0.000548,20.16,0.6657,0.7453,0.0796,46.87,10.64,0.721,0.703,0.75,RTX3090,24,19.75,10.92,On-Prem,45.03,0.1067
2022,LLM,generation,81.47,TensorFlow,22,32,6.40E-05,7.56,0.8752,1.1553,0.2801,365.07,0.82,0.696,0.682,0.728,A100,40,9.11,3.73,Azure,17.53,0.6465
2018,Diffusion,segmentation,28.21,PyTorch,45,32,0.000172,2.66,1.0066,1.2778,0.2711,90.85,14.29,0.763,0.742,0.791,V100,32,3.39,1.33,On-Prem,10.18,0.2465
2020,Diffusion,classification,50.09,TensorFlow,42,32,0.00013,6.16,0.585,0.6184,0.0335,341.14,5.62,0.778,0.761,0.808,A100,40,5.8,2.98,AWS,14.71,1.7239
2023,Transformer,generation,35.12,TensorFlow,16,64,0.000917,3.42,0.4899,0.5466,0.0567,832.51,0.11,0.919,0.879,0.952,V100,32,3.32,1.89,GCP,8.12,2.7585
2020,Transformer,detection,70.46,TensorFlow,20,16,0.000103,4.65,0.1226,0.1785,0.0559,102.29,7,0.847,0.822,0.867,T4,16,4.49,2.26,On-Prem,24.63,0.3598
2018,Diffusion,generation,71.48,TensorFlow,19,128,0.000965,9.66,0.2898,0.6627,0.3729,55.02,29.88,0.778,0.752,0.814,RTX3090,24,13.6,8.46,Azure,49.85,0.2059
2021,LLM,detection,49.16,JAX,6,64,2.00E-05,3.56,1.1509,1.3844,0.2335,569.89,2.06,0.76,0.73,0.779,V100,32,4.36,1.55,On-Prem,19.9,4.8235
2018,LLM,segmentation,64.85,TensorFlow,10,32,2.00E-05,5.63,0.1284,0.1485,0.0201,69.2,27.86,0.811,0.779,0.85,V100,32,6.2,2.64,AWS,22.64,0.3429
2019,Diffusion,generation,64.71,PyTorch,33,32,1.10E-05,7.13,0.4695,0.6302,0.1607,265.04,1.6,0.757,0.738,0.781,A100,40,9.47,5.19,Azure,22.76,1.2916
2025,Diffusion,classification,35.68,JAX,11,64,0.000242,2.01,0.6358,1.0345,0.3987,687,1.82,0.888,0.866,0.917,A100,40,2.35,1.1,On-Prem,5.06,6.1689
2022,LLM,detection,24.04,TensorFlow,11,128,0.000112,2.36,0.2534,0.4144,0.161,1203.53,0.44,0.802,0.787,0.825,RTX3090,24,3.19,1.7,AWS,11.15,3.2582
2025,CNN,generation,21.77,JAX,30,16,3.00E-05,3.21,0.9718,1.356,0.3842,684.05,0.39,0.903,0.871,0.926,T4,16,4.47,1.52,GCP,12.7,1.6078
2023,CNN,generation,110.05,PyTorch,44,128,0.000418,12.26,1.0385,1.2015,0.163,260.87,1.19,0.751,0.737,0.781,V100,32,17.9,11.16,AWS,28.27,0.9168
2018,LLM,detection,51.8,JAX,44,128,8.40E-05,5.89,0.8083,1.1674,0.3591,372.23,3.35,0.832,0.82,0.858,RTX3090,24,5.33,3.17,GCP,23.85,2.6511
2023,CNN,generation,43.85,JAX,28,128,1.60E-05,2.35,0.6349,0.796,0.1612,322.18,6.16,0.835,0.786,0.873,A100,40,3.17,1.4,AWS,8.57,1.9158
2021,CNN,generation,33.83,JAX,32,64,0.000628,4.34,0.312,0.7027,0.3906,596.71,0.12,0.808,0.788,0.826,RTX3090,24,3.68,2.52,Azure,16.98,5.4076
2019,Transformer,classification,34.17,PyTorch,31,32,0.000912,3.77,0.7198,1.0215,0.3017,715.46,1.86,0.79,0.775,0.811,T4,16,5.46,2.13,On-Prem,13.14,3.4977
2018,CNN,segmentation,187.49,JAX,26,16,3.50E-05,26.78,0.8274,1.0308,0.2035,4.67,425.34,0.732,0.695,0.751,A100,40,37.91,15.29,GCP,111.83,0.0314
2023,Transformer,detection,68.27,PyTorch,27,16,0.000205,4.62,0.6768,1.0708,0.394,412.38,0.33,0.948,0.931,0.962,RTX3090,24,6.05,3.79,Azure,13.2,2.2898
2025,Transformer,segmentation,73.45,PyTorch,47,16,0.000328,9.13,0.7537,0.805,0.0513,67.68,3.44,0.878,0.845,0.914,A100,40,10.08,3.67,Azure,38.65,0.5622
2020,CNN,segmentation,75.45,JAX,8,64,1.60E-05,6.8,0.9701,1.0597,0.0896,223.66,6.61,0.847,0.813,0.863,V100,32,7.13,4.38,GCP,28.68,0.2342
2018,CNN,detection,34.09,PyTorch,38,64,0.000329,4.02,0.9197,1.2581,0.3384,421.66,2.44,0.872,0.857,0.893,V100,32,5.02,3.07,GCP,11.52,0.9447
2019,CNN,generation,43.1,JAX,49,128,1.50E-05,4.69,0.6031,0.8636,0.2605,55.99,21.09,0.787,0.755,0.814,V100,32,5.73,3.27,On-Prem,24.48,0.192
2019,Transformer,detection,54.37,JAX,23,32,1.30E-05,4.54,0.9526,1.2386,0.286,437.08,2.42,0.925,0.897,0.939,A100,40,4.67,2.21,On-Prem,10.68,1.3049
2022,CNN,detection,135.38,PyTorch,15,64,0.000293,10.82,0.2495,0.5081,0.2586,111.81,3.56,0.87,0.833,0.91,RTX3090,24,14.32,8.53,On-Prem,62.79,0.316
2023,CNN,detection,67.61,PyTorch,7,16,1.10E-05,3.54,1.0065,1.1229,0.1165,233.45,2.71,0.824,0.776,0.842,A100,40,3.9,2.53,GCP,19.02,0.6244
2024,Diffusion,detection,48.65,TensorFlow,9,32,0.000258,5.5,0.1073,0.4698,0.3625,561.71,2.8,0.931,0.921,0.943,A100,40,5.27,1.86,Azure,19.79,5.2259
2025,Transformer,classification,45.09,PyTorch,28,128,1.30E-05,3.53,0.351,0.4573,0.1063,604,0.89,0.819,0.798,0.851,V100,32,3.93,2.4,GCP,7.98,3.2545
2019,Transformer,detection,12.75,TensorFlow,11,16,1.50E-05,0.94,0.8923,1.1162,0.2238,335.35,5.28,0.891,0.865,0.926,V100,32,1.27,0.7,AWS,3.74,3.2917
2022,CNN,generation,71.35,PyTorch,41,32,0.000135,6.88,1.1678,1.4151,0.2473,151.51,1.8,0.764,0.748,0.78,RTX3090,24,6.71,4.3,GCP,29.19,0.8652
2019,Transformer,segmentation,45.73,TensorFlow,26,32,0.000125,5.09,0.3101,0.6504,0.3403,287.44,1.13,0.832,0.796,0.849,RTX3090,24,4.42,2.85,AWS,19.55,2.2258
2023,Diffusion,generation,96.23,TensorFlow,42,128,0.00041,9.23,0.1098,0.4264,0.3166,66.93,8.28,0.765,0.748,0.785,V100,32,12.27,6.23,GCP,26.03,0.5957
2019,Transformer,detection,45.83,JAX,32,64,0.00035,2.42,0.125,0.3159,0.1909,596.16,1.85,0.695,0.665,0.708,V100,32,3.04,1.91,AWS,8.51,4.7577
2023,LLM,detection,18.2,PyTorch,32,16,0.000327,1.41,0.4092,0.6698,0.2606,344.91,5.22,0.836,0.805,0.859,A100,40,1.68,0.62,GCP,6.29,1.472
2019,Transformer,detection,251.19,PyTorch,12,16,0.000614,28.99,0.2249,0.4066,0.1817,74.25,2.87,0.835,0.789,0.869,T4,16,33.45,22.97,Azure,106.44,0.7319
2024,Diffusion,generation,108.77,JAX,8,32,0.000987,16.1,0.8046,0.8652,0.0606,190.88,1.21,0.935,0.923,0.969,V100,32,15.24,6.88,On-Prem,94.86,0.7696
2023,Transformer,segmentation,72.99,PyTorch,10,32,0.000263,5.94,0.5918,0.9223,0.3304,192.47,3.88,0.801,0.771,0.836,T4,16,6.15,2.27,GCP,28.82,1.6232
2019,Diffusion,segmentation,47.31,PyTorch,38,128,5.00E-05,4.5,0.9112,1.1751,0.2639,397.75,1.85,0.791,0.747,0.815,A100,40,6.68,3.7,GCP,11.26,2.8183
